date,industry,unemployed
2002-01-01,SouthKorea,25
2002-01-01,Spain,23
2002-01-01,Switzerland,15
2002-01-01,UnitedStates,33
2003-01-01,Argentina,27
2003-01-01,Australia,6
2003-01-01,Brazil,21
2003-01-01,Croatia,19
2003-01-01,England,20
2003-01-01,France,40
2003-01-01,Japan,15
2003-01-01,Morocco,8
2003-01-01,Netherlands,23
2003-01-01,Poland,32
2003-01-01,Portugal,24
2003-01-01,Senegal,10
2003-01-01,SouthKorea,35
2003-01-01,Spain,26
2003-01-01,Switzerland,14
2003-01-01,UnitedStates,28
2004-01-01,Argentina,33
2004-01-01,Australia,28
2004-01-01,Brazil,36
2004-01-01,Croatia,18
2004-01-01,England,28
2004-01-01,France,19
2004-01-01,Japan,47
2004-01-01,Morocco,27
2004-01-01,Netherlands,30
2004-01-01,Poland,22
2004-01-01,Portugal,39
2004-01-01,Senegal,22
2004-01-01,SouthKorea,31
2004-01-01,Spain,19
2004-01-01,Switzerland,14
2004-01-01,UnitedStates,27
2005-01-01,Argentina,28
2005-01-01,Australia,27
2005-01-01,Brazil,47
2005-01-01,Croatia,19
2005-01-01,England,19
2005-01-01,France,19
2005-01-01,Japan,31
2005-01-01,Morocco,13
2005-01-01,Netherlands,20
2005-01-01,Poland,35
2005-01-01,Portugal,24
2005-01-01,Senegal,19
2005-01-01,SouthKorea,23
2005-01-01,Spain,29
2005-01-01,Switzerland,17
2005-01-01,UnitedStates,33
2006-01-01,Argentina,16
2006-01-01,Australia,19
2006-01-01,Brazil,25
2006-01-01,Croatia,31
2006-01-01,England,28
2006-01-01,France,30
2006-01-01,Japan,30
2006-01-01,Morocco,14
2006-01-01,Netherlands,20
2006-01-01,Poland,21
2006-01-01,Portugal,27
2006-01-01,Senegal,13
2006-01-01,SouthKorea,26
2006-01-01,Spain,24
2006-01-01,Switzerland,21
2006-01-01,UnitedStates,20
2007-01-01,Argentina,32
2007-01-01,Australia,15
2007-01-01,Brazil,38
2007-01-01,Croatia,25
2007-01-01,England,21
2007-01-01,France,18
2007-01-01,Japan,25
2007-01-01,Morocco,12
2007-01-01,Netherlands,18
2007-01-01,Poland,26
2007-01-01,Portugal,19
2007-01-01,Senegal,22
2007-01-01,SouthKorea,9
2007-01-01,Spain,21
2007-01-01,Switzerland,15
2007-01-01,UnitedStates,28
2008-01-01,Argentina,12
2008-01-01,Australia,18
2008-01-01,Brazil,18
2008-01-01,Croatia,19
2008-01-01,England,25
2008-01-01,France,16
2008-01-01,Japan,31
2008-01-01,Morocco,35
2008-01-01,Netherlands,33
2008-01-01,Poland,18
2008-01-01,Portugal,24
2008-01-01,Senegal,18
2008-01-01,SouthKorea,26
2008-01-01,Spain,33
2008-01-01,Switzerland,21
2008-01-01,UnitedStates,30
2009-01-01,Argentina,21
2009-01-01,Australia,13
2009-01-01,Brazil,38
2009-01-01,Croatia,21
2009-01-01,England,28
2009-01-01,France,16
